id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
44912,False,/58r049aVTO1KjAYVuWJr0KgG5nY.jpg,"[12, 28, 53, 878]",en,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",40.608001708984375,/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,2011-06-14,Green Lantern,False,5.166999816894531,6993
137113,False,/4V1yIoAKPMRQwGBaSses8Bp2nsi.jpg,"[28, 878]",en,Edge of Tomorrow,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",75.76000213623047,/xjw5trHV7Mwo61P0kCTy8paEkgO.jpg,2014-05-27,Edge of Tomorrow,False,7.616000175476074,13332
965150,False,/d5l2ITQvpgP0dcWCAG6PUvp8YZw.jpg,[18],en,Aftersun,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.,57.24300003051758,/evKz85EKouVbIr51zy5fOtpNRPg.jpg,2022-10-21,Aftersun,False,7.691999912261963,1179
61791,False,/fSX71MsfKTOyvtE0bEyCrSbdCea.jpg,"[53, 28, 18, 878]",en,Rise of the Planet of the Apes,"A highly intelligent chimpanzee named Caesar has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caesar decides to revolt against those who have harmed him.",189.98599243164062,/cjLsuP75UDlRdJVMXzXg3TJ4umX.jpg,2011-08-03,Rise of the Planet of the Apes,False,7.302999973297119,11221
840576,False,/tpcEiFImyhT8rZXZNq7hKylXk2M.jpg,"[35, 80]",de,Das Schwarze Quadrat,"VINCENT, a struggling art-thief and failed artist, stole Malewitsch’s legendary abstract painting the „Black Square”. The sale and handover to a Russian Oligarch and his designated art expert MARTHA is set to take place on a cruise ship. When Vincent and his younger partner NILS realise that their principal accomplice will not show-up to provide the boarding tickets and fake ID’s, they desperately overbear two men in order to sneak their way onto the ship. To their horror they quickly learn that their victims are part of the cruise ship’s entertainment act. Desperate not to blow their cover, Vincent and Nils take on their roles as David Bowie and Elvis Presley doubles with varying degrees of success. Despite his best efforts, Vincent’s talents hardly convince the passengers and it does not take long until various crew members discover their true identities and the value of their loot. A wild goose chase for the “Black Square” breaks loose in the belly of the cruise ship…",53.09199905395508,/fLFmh6XnixgpzGd08xkmbL9XFRj.jpg,2021-11-25,The Black Square,False,5.0,13
402900,False,/w9QfTrYmtoA96zJlVNvjS8eucf8.jpg,"[80, 35, 28]",en,Ocean's Eight,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",104.00299835205078,/MvYpKlpFukTivnlBhizGbkAe3v.jpg,2018-06-07,Ocean's Eight,False,6.986000061035156,8047
942012,False,/ulhFLDyHUvCsJpJHf1CvqMayv8b.jpg,"[27, 18, 9648]",id,Menjelang Magrib,"A reporter and his cameraman investigate Nina, a young woman who is in pasung because she has a mental disorder that turns out to be something mystical.",48.111000061035156,/yL9KFlKIFL8PefqSO3jATeoz7Zd.jpg,2022-03-31,Before Night Falls,False,5.199999809265137,4
793445,False,,"[18, 9648]",ru,Чернобыль: Зона отчуждения. Фильм,"""Chernobyl: Exclusion zone. The finale"" will put an end to the story of five teenagers who tried to prevent the world's most famous man-made disaster. They will have to return to where it all started – Chernobyl, in order to solve the mystery of the origin of the Exclusion Zone. The full-length film will provide answers to all riddles and intrigues, and its creators promise to maximize the dynamism of the action, the entertainment of action scenes and the quality of visual special effects.",26.548999786376953,/2bLsQyhmKEZBiuLzmq7QI2076sE.jpg,2019-09-19,Chernobyl: Exclusion Zone. The Movie,False,7.900000095367432,24
673593,False,/dmiN2rakG9hZW04Xx7mHOoHTOyD.jpg,[35],en,Mean Girls,"New student Cady Heron is welcomed into the top of the social food chain by the elite group of popular girls called ‘The Plastics,’ ruled by the conniving queen bee Regina George and her minions Gretchen and Karen. However, when Cady makes the major misstep of falling for Regina’s ex-boyfriend Aaron Samuels, she finds herself prey in Regina’s crosshairs. As Cady sets to take down the group’s apex predator with the help of her outcast friends Janis and Damian, she must learn how to stay true to herself while navigating the most cutthroat jungle of all: high school.",136.8459930419922,/fbbj3viSUDEGT1fFFMNpHP1iUjw.jpg,2024-01-10,Mean Girls,False,6.099999904632568,354
82690,False,/ziC23LkMYj8gToQQYQGWSGJCLNF.jpg,"[10751, 16, 35, 12]",en,Wreck-It Ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",88.86499786376953,/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg,2012-11-01,Wreck-It Ralph,False,7.3379998207092285,11928
